Time_s	Pulse	Resp
3.982	2071.000	605.574
3.986	2060.000	606.075
3.990	2045.000	606.603
3.994	2031.000	607.142
3.998	2019.000	607.678
4.002	2005.000	608.195
4.006	1993.000	608.677
4.010	1980.000	609.109
4.014	1968.000	609.475
4.018	1955.000	609.759
4.022	1943.000	609.947
4.026	1929.000	610.023
4.030	1914.000	609.986
4.034	1899.000	609.847
4.038	1881.000	609.617
4.042	1866.000	609.310
4.046	1850.000	608.936
4.050	1835.000	608.507
4.054	1819.000	608.036
4.058	1804.000	607.534
4.062	1786.000	607.014
4.066	1769.000	606.487
4.070	1751.000	605.965
4.074	1735.000	605.460
4.078	1718.000	604.984
4.082	1701.000	604.549
4.086	1686.000	604.167
4.090	1671.000	603.850
4.094	1656.000	603.600
4.098	1643.000	603.412
4.102	1630.000	603.280
4.106	1619.000	603.198
4.110	1610.000	603.161
4.114	1603.000	603.163
4.118	1594.000	603.197
4.122	1585.000	603.259
4.126	1576.000	603.342
4.130	1568.000	603.441
4.134	1558.000	603.549
4.138	1545.000	603.661
4.142	1534.000	603.771
4.146	1521.000	603.874
4.150	1510.000	603.963
4.154	1499.000	604.032
4.158	1488.000	604.081
4.162	1478.000	604.111
4.166	1466.000	604.125
4.170	1458.000	604.126
4.174	1448.000	604.116
4.178	1438.000	604.098
4.182	1429.000	604.074
4.186	1421.000	604.047
4.190	1414.000	604.020
4.194	1409.000	603.994
4.198	1404.000	603.972
4.202	1400.000	603.958
4.206	1396.000	603.953
4.210	1393.000	603.961
4.214	1390.000	603.983
4.218	1389.000	604.022
4.222	1388.000	604.077
4.226	1386.000	604.144
4.230	1385.000	604.219
4.234	1385.000	604.297
4.238	1388.000	604.373
4.242	1386.000	604.444
4.246	1388.000	604.505
4.250	1388.000	604.552
4.254	1389.000	604.579
4.258	1389.000	604.584
4.262	1389.000	604.561
4.266	1390.000	604.506
4.270	1389.000	604.415
4.274	1389.000	604.284
